timestamp,backend,system,arch,hostname,python_version,gpu_model,gpu_index,vector_len,inner_iters,run_idx,elapsed_s,throughput_gflops,energy_joule,avg_power_watt
2026-01-23T14:13:01.349448,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,1000,0,0.007411,282.9672,,
2026-01-23T14:13:01.884298,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,1000,1,0.006720,312.0549,,
2026-01-23T14:13:02.402747,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,1000,2,0.006589,318.2908,,
2026-01-23T14:13:02.915736,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,1000,3,0.005627,372.7221,,
2026-01-23T14:13:03.421629,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,1000,4,0.007183,291.9436,,
2026-01-23T14:13:03.933871,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,5000,0,0.019536,536.7518,,
2026-01-23T14:13:04.438908,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,5000,1,0.022711,461.7032,,
2026-01-23T14:13:04.950443,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,5000,2,0.019385,540.9260,,
2026-01-23T14:13:05.453816,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,5000,3,0.022743,461.0603,,
2026-01-23T14:13:05.964942,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,5000,4,0.020471,512.2335,,
2026-01-23T14:13:06.481308,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,10000,0,0.034847,601.8236,,
2026-01-23T14:13:07.002863,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,10000,1,0.040260,520.9048,,
2026-01-23T14:13:07.543900,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,10000,2,0.030609,685.1526,,
2026-01-23T14:13:08.064803,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,10000,3,0.032491,645.4579,,
2026-01-23T14:13:08.570039,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,10000,4,0.028263,742.0176,,
2026-01-23T14:24:39.653576+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,1000,0,0.005021,417.6589,,
2026-01-23T14:24:40.198252+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,1000,1,0.005993,349.9579,,
2026-01-23T14:24:40.753104+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,1000,2,0.005055,414.8429,,
2026-01-23T14:24:41.304415+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,1000,3,0.006839,306.6553,,
2026-01-23T14:24:41.915212+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,1000,4,0.007312,286.8145,,
2026-01-23T14:24:42.504300+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,5000,0,0.016944,618.8617,,
2026-01-23T14:24:43.050229+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,5000,1,0.016094,651.5137,,
2026-01-23T14:24:43.591818+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,5000,2,0.014027,747.5590,,
2026-01-23T14:24:44.133976+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,5000,3,0.013935,752.4832,,
2026-01-23T14:24:44.683867+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,5000,4,0.019113,548.6061,,
2026-01-23T14:24:45.224194+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,10000,0,0.029698,706.1603,,
2026-01-23T14:24:45.772481+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,10000,1,0.024858,843.6400,,
2026-01-23T14:24:46.320930+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,10000,2,0.026000,806.6008,,
2026-01-23T14:24:46.876880+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,10000,3,0.027390,765.6704,,
2026-01-23T14:24:47.425238+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,10000,4,0.028898,725.6979,,
