timestamp,backend,system,arch,hostname,python_version,gpu_model,gpu_index,size_bytes,num_elements,run_idx,elapsed_s,throughput_gbps,energy_joule,avg_power_watt
2026-01-23T14:02:17.149673,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,1048576,0,0.001563,5.3677,,
2026-01-23T14:02:17.159243,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,1048576,1,0.000619,13.5501,,
2026-01-23T14:02:17.167816,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,1048576,2,0.000540,15.5261,,
2026-01-23T14:02:17.176592,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,1048576,3,0.000553,15.1658,,
2026-01-23T14:02:17.184840,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,1048576,4,0.000529,15.8700,,
2026-01-23T14:02:17.193146,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,1048576,5,0.000529,15.8687,,
2026-01-23T14:02:17.201058,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,1048576,6,0.000530,15.8164,,
2026-01-23T14:02:17.228863,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,16777216,4194304,0,0.001873,17.9156,,
2026-01-23T14:02:17.254750,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,16777216,4194304,1,0.001758,19.0831,,
2026-01-23T14:02:17.280356,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,16777216,4194304,2,0.001597,21.0153,,
2026-01-23T14:02:17.306008,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,16777216,4194304,3,0.001886,17.7949,,
2026-01-23T14:02:17.332149,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,16777216,4194304,4,0.002250,14.9112,,
2026-01-23T14:02:17.357628,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,16777216,4194304,5,0.001737,19.3170,,
2026-01-23T14:02:17.383294,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,16777216,4194304,6,0.002083,16.1081,,
2026-01-23T14:02:17.487446,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,67108864,16777216,0,0.006599,20.3394,,
2026-01-23T14:02:17.572986,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,67108864,16777216,1,0.004799,27.9705,,
2026-01-23T14:02:17.666508,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,67108864,16777216,2,0.010241,13.1062,,
